nkill,nwound,nperps,cluster
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.7071067811865475,0.0,0.7071067811865475,2
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.9982743731749958,0.058722021951470346,1
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.30151134457776363,0.30151134457776363,0.9045340337332909,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.4082482904638631,0.4082482904638631,0.8164965809277261,3
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.7071067811865475,0.0,0.7071067811865475,2
0.0,0.0,1.0,0
0.0,0.4472135954999579,0.8944271909999159,3
0.4472135954999579,0.0,0.8944271909999159,0
0.1643989873053573,0.0,0.9863939238321437,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.4472135954999579,0.0,0.8944271909999159,0
0.0,0.0,1.0,0
0.0,0.8320502943378437,0.5547001962252291,1
0.7071067811865475,0.0,0.7071067811865475,2
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.31622776601683794,0.9486832980505138,0
0.7071067811865475,0.0,0.7071067811865475,2
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.0,0.0,1.0,0
0.24253562503633297,0.0,0.9701425001453319,0
0.0,0.0,1.0,0
